instrument_name,panel,cell,description,manufacturer,intern_calib,model,serial,units,last_calib,due_calib,po,cost,recv_date,certified,assigned_to,status,notes
06LA-0113,06LA-0113,MAQUINADOS,PLUG GAGE,WORKING,TRUE,nan,nan,4-40UNC-2B,,,nan,,8/1/2021,TRUE,MAQUINADOS RAFA,INACTIVO,INTERNO-DAÑADO
06HI-1094,06HI-1094,ALMACEN PLASTICOS,BASCULA DIG.,SARTORIUS,FALSE,IW2P1U-60F,31797026,60 LBS,12/1/2022,6/30/2023,nan,,12/1/2017,TRUE,SUP. ALMACEN,ACTIVO,EXT-PLANTA
06HI-1095,06HI-1095,EMBARQUES,BASCULA DIG.,ULTREGA,FALSE,SCB-R9000,H59722261,0 30 LBS,,,nan,,12/1/2017,TRUE,SUP. EMBARQUES,INACTIVO,EXTERNO
05NE-5440,05NE-5440,SNNEIDER,MULTIMETRO DIGITAL,BK PRECISION,FALSE,2831E,123J17196,nan,10/1/2022,10/31/2023,nan,,5/7/2018,TRUE,LAB RACK DE E.P,ACTIVO,rack de inacivo equipo de p.
05NE-5441,05NE-5441,TEMPO PANELES,MULTIMETRO DIGITAL,BK PRECISION,FALSE,2831E,123J17195,nan,,,nan,,9/30/2017,TRUE,SUP.PANELES,SCRAP,SE TIRO SCRAP
05IE-2080,05IE-2080,PASILLO ENFERMERIA FX,FUENTE DE PODER,BK PRECISION,FALSE,9129B,727320021,nan,6/1/2022,6/30/2023,nan,,5/18/2018,TRUE,SUP. FX,ACTIVO,EXT-PLANTA
06HI-1084,06HI-1084,CENTRO DE DISTRIBUCION,BASCULA DIG.,AVERY WEIGHT Tr,FALSE,7808,LPF170069,0 A 150 LBS,12/1/2022,6/30/2023,nan,,6/1/2018,TRUE,SUP. ALM. Z A,ACTIVO,EXT-PLANTA
05IE-2081,05TE-0546,TEC-3000,POWER SUPPLY,BK PRECISION,FALSE,9129B,727320021,O A 30 VDC,8/1/2022,8/31/2023,nan,,6/8/2017,TRUE,SUP.SENSORES,ACTIVO,EXTERNO-PLANTA
05IE-2082,05IE-2082,STD. PANELES,POWER  SUPPLY AC,BK PRECISION,FALSE,9801,727420086,0 A 30O V AC,4/1/2023,4/30/2024,nan,,6/8/2018,TRUE,SUP.PANELES,ACTIVO,EXT-PLT
05IE-2083,05IE-2083,SMART,POWER SUPPLY,BK PRECISION,FALSE,9801,727210008,0 A 300 VAC,6/21/2022,6/30/2023,nan,,6/7/2018,TRUE,SUP.SMART,ACTIVO,EXT-PLANTA
05IE-2084,05IE-2084,SMART,POWER SUPPLY,BK PRECISION,FALSE,9801,727210002,0 300 VAC,6/21/2022,6/30/2023,nan,,6/7/2018,TRUE,SUP.SMART,ACTIVO,EXT-PLANTA
05NE-5442,05NE-5442,PANELES,MULTIMETRO DIG.,BK PRECISION,FALSE,2831E,123L17126,nan,,,nan,,6/19/2018,TRUE,SUP. PANELES,SCRAP,SE TIRO SCRAP
06NI-2007,06NI-2007,PLASTICOS,SET DE PIN GAGE,VERMONT GAGE,TRUE,nan,nan,".006 A .060""",8/2/2021,8/31/2023,nan,,6/12/2012,TRUE,INGENIERO PLAST,ACTIVO,INTERNO
06LF-1066,06LF-1066,T-4000 MAQ.,PLUG GAGE,VERMONT GAGE,TRUE,nan,nan,GO 0.1765  NO GO 0.1792,8/2/2021,8/31/2023,nan,,8/2/2021,TRUE,SUP.MAQUINADOS,ACTIVO,INTERNO
06ZF-0552,06ZF-0552,PLASTICOS MOLDEO,FIXTURE,JCI,TRUE,nan,nan,nan,7/28/2021,7/31/2023,nan,,10/10/2010,TRUE,MOLDEO PLASTICO,ACTIVO,INTERNO
06AV-2115,06AV-2115,GAVETA DE CNC,DIG. MICROMETRO,MITUTOYO,TRUE,CN29383130,nan,"0 1""",8/3/2022,8/31/2023,nan,,8/3/2021,TRUE,TOOL ROOM CNC,ACTIVO,INTERNO
06LA-0079,06LA-0079,MOLDEO PLASTICOS,PLUG GAGE,GACO,TRUE,nan,nan,"GO .3344 NO GO .3401""",,,nan,,10/10/2010,TRUE,SUP. PLASTICOS,INACTIVO,INTERO-LOST
06BV-0187,06BV-0187,MAQ T-4000,DIG. INDICADOR,MITUTOYO,TRUE,ID-U1025E,18116014,"0 A 1""",8/3/2022,8/31/2023,nan,,8/3/2021,TRUE,SUP. MAQUINADOS,ACTIVO,INTERNO-DELFINO/TOMY
06NF-1519,06NF-1519,MOLDEO,PIN GAGE,VERMONT GAGE,TRUE,nan,nan,G0 .121/.375 GO .124/.750,7/21/2021,7/31/2023,nan,,10/10/2010,TRUE,SUP. PLASTICOS,ACTIVO,INTERNO
06BV-0169,06BV-0169,MAQUINADOS PL2,DIG. INDICADOR,MITUTOYO,TRUE,ID-C150TB,01361,"0 A 2""",7/28/2022,7/31/2023,nan,,8/4/2021,TRUE,SUP. MAQUINADOS,ACTIVO,INTERNO
06LV-0848,06LV-0848,MAQUINADOS P2,PLUG GAGE,nan,TRUE,nan,nan,14/20 UNC-2B,3/1/2023,3/31/2025,nan,,10/10/2010,TRUE,SUP.MAQUINADOS,ACTIVO,INTERNO
06AV-2116,06AV-2116,MAQUINASOS T 4000,DIG.CALIPER,MITUTOYO,TRUE,CD-8' ASX,B20160187,0'-8',8/4/2022,8/22/2023,nan,,8/4/2021,TRUE,DELFINO PEREZ,ACTIVO,INTERNO
VG-7000,VG-7000,VG-7000,TORQUEMETER ATLAS,ATLAS COPCO,FALSE,ETDST101-7,C3370614,0 A 750 NM,1/28/2023,1/31/2024,nan,,6/7/2021,TRUE,SUP. VALVULAS,ACTIVO,EXT-PLANTA
05IE-2166,05TE-0370,SMART,AC Power Source,BK Precision,FALSE,9801,nan,0 a 300v,6/1/2022,6/30/2023,nan,,8/6/2021,TRUE,SUP.SMART,ACTIVO,EXT-PLANTA
03BI-0062,05TI-0227,V-9011/V-9012,FLOWMETER,AALBORG INST,TRUE,FM082-03G,nan,nan,8/9/2022,8/31/2024,nan,,10/10/2010,TRUE,SUP. NEWMATICOS,ACTIVO,INTERNO
04CI-1050,05TI-0227,V-9011/V-9012,PRESSURE GAGE,DWYER SYSTEM,TRUE,3304,W50830BN4,-2 A 2 WG,8/9/2022,8/31/2024,nan,,10/10/2010,TRUE,SUP. NEWMATICO,ACTIVO,INTERNO
04CI-1051,05TI-0227,V-9011/V-9012,PRESSURE GAGE,DWYER INSTRU,TRUE,3304,W50830BN3,-2 A +2 WG,8/9/2022,8/31/2024,nan,,10/10/2010,TRUE,SUP. NEWMATICOS,ACTIVO,INTERNO
06HI-1102,06HI-1102,ALM.EMBARQUES Z A,BASCULA MOVIL (MULA),U-LINE,FALSE,H2321,1049030320,0 5000 LBS,8/10/2022,8/31/2023,nan,,8/10/2021,TRUE,SUP. EMBARQUES,ACTIVO,EXT-PLANTA
06LV-1001,06LV-1001,PLASTICOS,PLUG GAGE,VERMONT GAGE,FALSE,nan,nan,1/4-18 PTF-SAE SHORT,12/22/2021,12/31/2023,nan,,12/22/2017,TRUE,SUP. PLASTICOS,ACTIVO,EXTERNO
06LI-0012,06LI-0012,INSPECCION,THD. PLUG GAGE,AFTER COAT DOAL,FALSE,nan,nan,1/8-27 NPT,12/22/2021,12/31/2023,nan,,10/10/2010,TRUE,SUP. INSPECCION,ACTIVO,EXTERNO
06di-1002,06DI-1002,SUSTAINING,TORQUEMETER,TORQUEMETER,FALSE,TT500,7FT028544,0 a 40 inch lbs,,,nan,,10/10/2017,TRUE,SUP. SUSTAINING,INACTIVO,EXT SCRAP 09/17/21
06LV-0654,06LV-0654,INSPECCION,THD. PLUG GAGE,THE SHEFFIELD C,FALSE,nan,nan,3/4-14 NPT L1,12/1/2021,12/31/2023,nan,,12/29/2017,TRUE,SUP. INSPECCION,ACTIVO,EXTERNO
06QV-0507,06QV-0507,INSPECCION-ENTRADA,THD. RING GAGE,NAW CO,FALSE,nan,nan,1/8 -27 NPT,7/1/2022,7/31/2023,nan,,12/1/2017,TRUE,SUP. INSPECCION,ACTIVO,EXTERNO-LAB
05ZE-0178,05ZE-0178,RMA,MEDIDOR DE SPESOR,POSITECTOR,FALSE,6000,745139,nan,1/8/2023,1/31/2024,nan,,1/8/2018,TRUE,SUP.RMA,ACTIVO,EXT-LAB
05WE-0152,05WE-0152,ROCHA-ANALISIS,LCR METER,AGILENT,FALSE,E4980A,nan,nan,1/17/2023,1/31/2024,nan,,1/9/2018,TRUE,SUP. ANALISSI,ACTIVO,EXTERNO-PLANTA T.
06LV-1002,06LV-1002,WATER,THD. PLUG GAGE,G.A.CO,TRUE,nan,nan,5-40 UNC-2B GO .1088 NO GO .1121,1/10/2018,1/31/2020,nan,,1/10/2018,TRUE,SUP. WATER,INACTIVO,INTERNO
06HI-1088,06HI-1088,MC ALLLEN,DIG. SCALE,WEIGH TRONIX,FALSE,WI-125,34266,0 A 100 LBS,4/7/2022,4/30/2023,nan,,10/10/2010,TRUE,SUP. MC ALLEN,ACTIVO,EXT-RGV
06HI-1089,06HI-1089,EMBARQUES,BASCULA DIG. FLAJEDORA,Avery Weigh- tr,FALSE,ZM303-SD2,164950046,nan,1/17/2022,1/31/2023,nan,,7/5/2017,FALSE,SUP. EMBARQUES,DAÑADA,SE MANDARA REPARAR
06HI-1090,06HI-1090,EMBARQUES,BASCULA DIG. FLAJEDORA,AVERY Weight tr,FALSE,ZM-303-SD2,164950046,nan,1/7/2023,7/31/2023,nan,,7/5/2017,TRUE,SUP. EMBARQUES,ACTIVO,EXT-PLANTA
06LI-0097,06LI-0097,MAQ. BROTHER,THD. PLUG GAGE,VERMONT GAGE,TRUE,nan,nan,6-32 UNC-2B GO .1177 NO GO .1214,9/21/2021,9/30/2023,nan,,10/10/2010,TRUE,RAFAEL SANTIAGO,ACTIVO,INTERNO
06AA-0016,06AA-0016,INGENIERIA,DIG. CALIPER,MITUTOYO,TRUE,500-322,nan,"0 A 8""",1/19/2023,1/31/2024,nan,,10/10/2010,TRUE,JAVIER ISAIS,ACTIVO,INTERNO
06HI-1091,06HI-1091,ESTAMPADOS,DIG. SCALE,SARTORIUS,FALSE,ENTRIS2221,35009797,0 A 2100 GS,6/11/2022,6/30/2023,nan,,6/8/2017,TRUE,SUP. PLASTICOS,ACTIVO,EXT-PLANTA
06LV-0240,06LV-0240,INSPECCION PL1,THD. PLUG GAGE,TAPERLOCK,TRUE,nan,nan,3/8 20 N.C-2,7/1/2022,7/31/2024,nan,,1/17/2018,TRUE,SUP. INSPECCION,ACTIVO,INTERNO
VG1000-3,VG1000-3,LOW VAL,TORQUE ATLAS COPCO,ATLAS COPCO,FALSE,ETD ST101-,C9681832,0 a 150 NM,12/1/2022,12/31/2023,nan,,1/17/2018,TRUE,SUP. VG-1000,ACTIVO,EXT-PLT
06AV-0479,06AV-0479,TOOL ROOM,DIG. CALIPER,MITUTOYO,TRUE,"CD 6"" ASX",B16226988,"0 A 6""",1/18/2019,1/31/2020,nan,,1/18/2018,TRUE,JULIO SOLIS,INACTIVO,INTERNO
01KI-1017,01KI-1017,TRMOMETRO DE MANO/CABLES,THERMOMETRO DE TEMP.,FLUKE,FALSE,51 II,36300069WS,nan,1/18/2023,1/31/2024,nan,,1/18/2018,TRUE,SUP. CABLES,ACTIVO,EXTERNO-PLANTA
05IA-0002,05IA-0002,SENSORES/SPECIALES,POWER SUPPLY,POWER DESIGNS,FALSE,2020B,908074,0 A 10 DC,1/1/2023,1/31/2024,nan,,10/10/2010,TRUE,SUP-SENSORES,ACTIVO,EXT-PLT
06HI-1082,06HI-1082,EMBARQUES,BASCULA DIG.,AVERY WEIGHT TR,FALSE,7808,LPF170070,0.05  A 150 LBS,1/31/2018,7/31/2018,nan,,1/31/2017,FALSE,SP. EMBARQUES,INACTIVO,EXTERNO
06HI-1092,06HI-1092,DHL EMBARQUES,DIG. SCALE,TORREY,FALSE,EQB100/200,24648,0.05 A 200 LBS,1/7/2023,7/31/2023,nan,,1/31/2018,TRUE,SUP. ALM Z A,ACTIVO,EXT-PLANTA
05VI-0010,05VI-0010,VA'S-7150,CRONOMETRO,OMRON,FALSE,H3CR,nan,0 A 2 HRS,12/1/2022,12/31/2023,nan,,10/10/2010,TRUE,SUP. NEWMATICOS,ACTIVO,EXT-PLT
