Modelo,Descripcion,Fabricante,CalibracionInterna
SMR-502A,CONTROLADOR DE TEMP,VITRONICS,False
N6101,CONTROLADOR DE TEMP,WEST,False
6100,Temp Controller,West,False
1500 M061,CONTRL. DE TEMP.,HELLER IND.,False
TF-8N,CONTR. DE TEMP.,UNKNOW,False
1809EXL,CONTR. DE TEMP.,HELLER IND.,False
Pyromax,Medidor de Temperatura,BTU,False
DKN810,HORNO DE TEMP,CONSTANT TEMP,False
,THERMOMETRO ANALOGO,WEKSLER,False
3A,GAGE DE IONIZACION,TELEVAC,False
4151000002,CHRAT RECORD,GRIEVE,False
CN76000,CONTROLADOR DE TEMP,OMEGA,False
1CF5003A-U,Controller,_Unknown,False
818P4,HORNO DE TEMP,EUROTERM,False
VRD5AI,REFRIGERADOR,TORREY,False
804,CONTROL DE TEMP. HORNO GRIS,WATLOW,False
1300,CONTROL DE TEMP,LEEDS&NORTHRUP,False
ELEC. MAX,CONTROL DE TEMP,LEED & NORTHRUP,False
LFP,CONTROLADOR DE TEMP.,PARTLOW,False
J-TROL,CONTROLADOR DE TEMP,WATLOW,False
2800,CONTROLADOR DE TEMPERATURA,THERMOTRON,False
2000-B,DIAL. CONTROL DE TEMP.,ATHENA,False
EZ-ZONE,CONTROLADOR DE TEMP.,WATLOW,False
TE-96,CNTROLADOR DE TEMP.,CEIV,False
SM-16-8200,CONTROL. DE TEMP.,THERMOTRON,False
DA-75-3X,DIGITAL STRAIN GAGE,INFCSO,True
PAX2500,DIGITAL STRAIN GAGE,RED LION,True
50d,ThermoMeter,Fluke,False
CAL 9900,CONTROL DE TEMP,AAT,False
DP9064A,TERMOCOUPLE,DATAPAQ,False
HH-26k,Termometro,Omega,False
HH-26K,THERMOMETR,OMEGA,False
1809MK-III,HORNO DE SECADO,HELLER,False
HC2,PUNTA DE TEMPERATURA,ROTRONIC,False
1809-XL,HORNO DE SECADO,HELLER,False
SC-100,BAÑO DE TEMP,Thermo Scientif,False
45-6.8,FREEZER,SCIENTIFIC TEMP,False
RTE-211,BAÑO DE TEMP,NESLAB,False
MOLE GOLD,THERMO PROFILE,#E51-0386-40,False
1809MKIII,HORNO,HELLER,False
HC2A-S,PUNTA DE TEMPERATURA,ROTRONIC,False
52 II,THERMOMETRO DIGITAL,FLUKE,False
HC2A,PUNTA DE TEMPERATURA,ROTRONIK,False
PHT-771,THERMOMETRO DIG.,EXTECH,False
561,THERMOMETRO LAZER,FLUKE,False
X5,DATAPAQ-PERFILADOR,KIC-EXPLORER,False
DP-460,DIG. TEMP. INDICADOR,OMAEGA ENGINERN,True
988,CONTROL DE TEMP,WATLOW,False
1502A,THERMOMETER,HART SCIENTIFIC,False
410-THF,INDICADOR DE TEMP,OMEGA,True
410A-THF,DIGITAL TEMP. IND.,OMEGA,True
4110A01-TF,MEDIDOR DG. TEMP,OMEGA ENG.,True
410B-PT3,INDICADOR DE TEMPERATURA,OMEGA,True
DP-460T,THERMOMETRO DIGITAL,OMEGA,True
1504,THERMOMETRO DIG,HART SCIENTIFIC,False
1502,THERMOMETRO DIG,HART SCIENTIFIC,False
RH350,0000000,EXTECH,False
51 II,THERMOMETRO DE TEMP.,FLUKE,False
R2400,THRMOMETRO DIGITAL,REED,False
572-2,THERMOMETER Lazer,FLUKE,False
4330,TERMOMETRO,YSI INDUSTRIAL,False
921A PL-F/,TERMOMETRO DIGITAL,STOW LABORATORI,False
RTE 17,BAñO DE TEMPERATURA,Thremo Scientif,False
DP41-S,SENSOR DE FUERZA,OMEGA,True
PAX,STRAING GAGE,RED LION,True
SUVEYOR-50,MEDIDOR DE RADIACION,BICRON,False
PAX 1/8,TACOMETRO,RED LION,False
204,TRNSDUCER,SETRA,True
MPSC/TC-2,TRANSDUCTOR DE FUERZA,Hi-Tech/ AEP,False
DPM-3,Torqmeter,TRANSDUCER TECH,False
TRT200,TRANSDUCERS,TRANS DUCER TEC,False
500 LBS,Torqmeter,Futek,False
IPM500,Torqmeter,Futek,False
TRT-200,Torquimetro,TECHNIQUES,False
TRS-300,Torquimetro,Futek,False
IPM-500,TORQUE METER,FUTEK,True
PAX I,Torqmeter,RED LION,False
PAXI,Torqmeter,RED LION,False
PAX2S,Celula De Fuerza,RED LION,False
PAXS,Torqmeter,RED LION,False
PAX2,TORQUEMETER,RED LION,False
PAX-2,TOQUEMETER,RED LION,True
PAX-2D,TORQUEMETER,RED LION,True
M5P-30F,CELULA DE FUERZA,,False
PAX'S,CELDA DE FUERZA,RED LION,False
LCC 100N,CELDA DE FUERZA,LLOYD,False
LC 10N,CELDA DE FUERZA,LLOYD,False
LC 2.5KN,CELDA DE FUERZA,LLOYD,False
TFF400,CELDA DE TORQUE,FUTEK,False
PAXW,SENSOR DE TORQUE,RED LION,False
PAX'S/TRST,CELDA DE TORQUE,RED LION/FUTEK,False
LCM-300,CELDA DE FUERZA,FUTEK,False
PAXI/LCM30,SENSOR DE FUERZA,Red lion/Futek,False
LCM300,CELDA DE FUERZA,FUTEK,False
BMX100F,TORQUE TRANSDUCER,MOUNTZ,False
TL50i,TOrQUE ANALIZER ELECT.,MOUNTZ,False
BMX250F,TRADUCTOR DE TORQUE,MOUNTZ,False
BMX100I,TRADUCTOR DE TORQUE,MOUNTZ,False
25050,CELDA DE FUERZA,,False
LTT-2100,TORQUE METER,MOUNTZ,False
BMX 100i,TRANSDUCER TORQUE,MOUNTZ,False
LGPB,SENSOR DE POSCICION.,RED LION,False
LPG,Sensor de Posición,RED LION,False
LPGB,Sensor de Posición,RED LION,False
LPGB0200,Sensor de Posición,RED LION,False
PAX2D,OTHER,RED LION,False
ZSD2500A,SENSOR DE POSC.,RED LION,False
PAX D,SENSOR DE POSICION,RED LION,False
FM032-41S,FLOWMETER,AALBORG,True
FM042-15G,FLOWMETER,AALBORG,True
FM032-41G,FLOWMETER,AALBORG,True
S90 Zahn,Copa de Viscosidad,Gardco,False
4PR093,FLOWMETER,AALBORG,True
FM042-15S,FLOWMETER,AALBORG INST.,True
FM082-03G,TUBO DE FLUJO,AALBORG,True
FM062-01ST,FLOWMETER,AALBORG,True
FM044-40ST,FLOWMETER,AALBORG,True
403,TUBO DE FLUJO,AALBORG,True
FM042-15,FLOWMETER,AALBORG,True
FM062-01S,FLOWMETER,AALBORG INSTR.,True
FM034-39G,FLOWMETER,AALBORG INSTRUM,True
FM082-03S,FLOWMETER,AALBORG INSTR.,True
FM044-04,FLOWMETER,AALBORG,True
FM112-02S,FLOWMETER,AALBORG,True
FM062-1S,FLOWMETER,AALBORG,True
FM082-03ST,FLOWMETER,AALBORG,True
1/8-08-G,FLOWMETER,FISCHER & PORTE,True
FM062-01G,FLOWMETER,AALBORG INSTRUM,True
FM-092-04S,FLOWMETER,AALBORG,True
FM092-04ST,FLOWMETER,AALBORG,True
1/16-08-G,FLOWMETER,FISCHER & PORTE,True
FM042-41G,FLOWMETER,AALBORG INSTR.,True
FM044-40G,FLOWMETER,AALBORG INST.,True
FM112-02SP,FLOWMETER,AALBORG INSTRUM,True
